id_combinado_origen_nomeclatura,id_dug,id_combinado_origen_datos_dataframe
1002,138,SUCHITEPEQUEZ_CUYOTENANGO
1001,137,SUCHITEPEQUEZ_MAZATENANGO
1014,150,SUCHITEPEQUEZ_PATULUL
1019,155,SUCHITEPEQUEZ_PUEBLO NUEVO SUCHITEPÉQUEZ
1020,156,SUCHITEPEQUEZ_RÍO BRAVO
1008,144,SUCHITEPEQUEZ_SAMAYAC
1010,146,SUCHITEPEQUEZ_SAN ANTONIO SUCHITEPÉQUEZ
1004,140,SUCHITEPEQUEZ_SAN BERNARDINO
1003,139,SUCHITEPEQUEZ_SAN FRANCISCO ZAPOTITLÁN
1012,148,SUCHITEPEQUEZ_SAN GABRIEL
1005,141,SUCHITEPEQUEZ_SAN JOSÉ EL IDOLO
1016,152,SUCHITEPEQUEZ_SAN JUAN BAUTISTA
1007,143,SUCHITEPEQUEZ_SAN LORENZO
1011,147,SUCHITEPEQUEZ_SAN MIGUEL PANÁN
1009,145,SUCHITEPEQUEZ_SAN PABLO JOCOPILAS
1015,151,SUCHITEPEQUEZ_SANTA BÁRBARA
1006,142,SUCHITEPEQUEZ_SANTO DOMINGO SUCHITEPÉQUEZ
1017,153,SUCHITEPEQUEZ_SANTO TOMÁS LA UNIÓN
1018,154,SUCHITEPEQUEZ_ZUNILITO
805,109,TOTONICAPAN_MOMOSTENANGO
804,108,TOTONICAPAN_SAN ANDRÉS XECUL
808,112,TOTONICAPAN_SAN BARTOLO
802,106,TOTONICAPAN_SAN CRISTÓBAL TOTONICAPÁN
803,107,TOTONICAPAN_SAN FRANCISCO EL ALTO
807,111,TOTONICAPAN_SANTA LUCÍA LA REFORMA
806,110,TOTONICAPAN_SANTA MARÍA CHIQUIMULA
801,105,TOTONICAPAN_TOTONICAPÁN
1907,301,ZACAPA_CABAÑAS
1902,296,ZACAPA_ESTANZUELA
1904,298,ZACAPA_GUALÁN
1910,304,ZACAPA_HUITÉ
1909,303,ZACAPA_LA UNIÓN
1903,297,ZACAPA_RÍO HONDO
1908,302,ZACAPA_SAN DIEGO
1911,305,ZACAPA_SAN JORGE
1905,299,ZACAPA_TECULUTÁN
1906,300,ZACAPA_USUMATLÁN
1901,295,ZACAPA_ZACAPA
